,player,all_nba,all_star,draft_yr,pk,team,college,yrs,games,minutes_played,pts,trb,ast,fg_percentage,tp_percentage,ft_percentage,minutes_per_game,points_per_game,trb_per_game,assists_per_game,win_share,ws_per_game,bpm,vorp,attend_college
221,Lew Massey,0,0,1978,38,LAL,University of North Carolina at Charlotte,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
222,Michael Cooper,0,0,1978,60,LAL,University of New Mexico,12,873,23635,7729,2769,3666,0.469,0.34,0.833,27.1,8.9,3.2,4.2,52.5,0.107,1.0,18.2,1
223,Harold Robertson,0,0,1978,82,LAL,Lincoln University of Missouri,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
224,Carlos Terry,0,0,1978,104,LAL,Winston-Salem State University,3,94,1078,285,227,124,0.434,0.0,0.672,11.5,3.0,2.4,1.3,1.5,0.066,0.4,0.6,1
225,Kim Stewart,0,0,1978,126,LAL,University of Washington,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
226,Larry Paige,0,0,1978,147,LAL,Colorado State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
227,Magic Johnson,10,12,1979,1,LAL,Michigan State University,13,906,33245,17707,6559,10141,0.52,0.303,0.848,36.7,19.5,7.2,11.2,155.8,0.225,7.2,77.4,1
228,Brad Holland,0,0,1979,14,LAL,"University of California, Los Angeles",3,93,686,293,59,63,0.40299999999999997,0.19,0.746,7.4,3.2,0.6,0.7,0.4,0.026000000000000002,-5.0,-0.5,1
229,Ollie Mack,0,0,1979,25,LAL,East Carolina University,3,128,2513,916,319,230,0.45799999999999996,0.0,0.674,19.6,7.2,2.5,1.8,2.5,0.048,-1.9,0.1,1
230,Victor King,0,0,1979,39,LAL,Louisiana Tech University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
231,Mark Young,0,0,1979,41,LAL,Fairfield University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
232,Walter Daniels,0,0,1979,60,LAL,University of Georgia,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
233,Ray White,0,0,1979,79,LAL,Mississippi State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
234,Ricky Reed,0,0,1979,81,LAL,Temple University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
235,Wayne Robinson,0,0,1980,31,LAL,Virginia Polytechnic Institute and State University,1,81,1592,643,294,112,0.46,0.0,0.7290000000000001,19.7,7.9,3.6,1.4,1.7,0.052000000000000005,-2.8,-0.3,1
236,Butch Carter,0,0,1980,37,LAL,Indiana University,6,361,6814,3137,546,683,0.475,0.307,0.7879999999999999,18.9,8.7,1.5,1.9,8.5,0.06,-2.5,-0.8,1
237,Tony Jackson,0,0,1980,87,LAL,Florida State University,1,2,14,2,2,2,0.33299999999999996,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.124,1.2,0.0,1
238,Ron Baxter,0,0,1980,91,LAL,University of Texas at Austin,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
239,Odis Boddie,0,0,1980,137,LAL,University of North Alabama,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
240,Melvin Hooker,0,0,1980,178,LAL,Edinboro University of Pennsylvania,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
241,Mike McGee,0,0,1981,19,LAL,University of Michigan,9,520,9271,4968,1112,629,0.48700000000000004,0.354,0.597,17.8,9.6,2.1,1.2,15.1,0.078,-0.9,2.5,1
242,Harvey Knuckles,0,0,1981,39,LAL,University of Toledo,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
243,Elvis Rolle,0,0,1981,42,LAL,Florida State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
244,Zam Fredrick,0,0,1981,51,LAL,University of South Carolina,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
245,Ron Cornelius,0,0,1981,65,LAL,University of the Pacific,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
246,Kevin McKenna,0,0,1981,88,LAL,Creighton University,6,243,3460,1320,317,342,0.414,0.36700000000000005,0.8190000000000001,14.2,5.4,1.3,1.4,4.0,0.055999999999999994,-2.3,-0.2,1
247,Craig Watts,0,0,1981,111,LAL,North Carolina State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
248,Kevin Singleton,0,0,1981,134,LAL,University of California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
249,Larry Petty,0,0,1981,157,LAL,University of Wisconsin,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
250,Jay Triano,0,0,1981,179,LAL,Simon Fraser University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
251,Larry Hughes,0,0,1998,8,PHI,Saint Louis University,13,727,22368,10242,3039,2290,0.406,0.309,0.757,30.8,14.1,4.2,3.1,32.3,0.069,-0.3,9.7,1
